IDSERVICE,NOM,ALTITUDE,ZONE,TYPE,ETAT,GESTION,OPERATEUR,METHODE,COMMENT,OFFX,OFFY,LIGNE_VIS,ICONE_VIS,OFFX_TEX,OFFY_TEX,VIS_TEX,longitude,LATITUDE
"138",La Cabane à Sucre,268.071319580,Orford,Refuge,ouvert,SÉPAQ,Gilles Turgeon,Estimé,,"138","174",solid,oui,"0","80",non,-72.212160390994356,45.338209404224649
"139",Le Castor,274.095611572,Orford,Refuge,ouvert,SÉPAQ,Gilles Turgeon,Estimé,,"217","-74",solid,oui,"0","80",non,-72.217503413723904,45.349085977476655
"140",Le Vieux camp,278.359313965,Orford,Refuge,ouvert,SÉPAQ,Gilles Turgeon,GPS,,"-146","-84",solid,oui,"0","80",non,-72.198660563920498,45.336666938546657
"141",Carrefour du Ruisseau Perdu,328.211700439,Orford,Piquenique,ouvert,SÉPAQ,Gilles Turgeon,GPS,,"122","-51",solid,oui,"0","80",non,-72.213320177292204,45.359781042371829
"142",Le Ponceau,319.732727051,Orford,Piquenique,ouvert,SÉPAQ,Gilles Turgeon,Estimé,,"-5","84",solid,oui,"0","80",non,-72.232215073055414,45.350924001867853
"143",S27 (été),121.124092102,Richmond,Parking,ouvert,SE,Gilles Turgeon,GPS,,"150","0",solid,oui,"0","80",oui,-72.126066409290388,45.634045044605749
"146",S35 (été),129.036056519,Richmond,Parking,ouvert,SE,Jean-Marie Croteau,Estimé,,"-20","-200",solid,oui,"0","-250",oui,-72.135900000000007,45.640116666666664
"148",PV115,180.787948608,Richmond,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"-500","23",solid,oui,"-180","-40",oui,-72.136387298123168,45.587998724254234
"149",PV116,194.776657104,Richmond,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"-500","-50",solid,oui,"-180","-40",oui,-72.136436583713831,45.592512965845579
"151",PV120,140.000000000,Richmond,Point de vue,ouvert,SE,Daniel Delorme,GPS,,"-300","50",solid,oui,"-180","-40",oui,-72.136231499999994,45.613365700000003
"152",PV119,140.476867676,Richmond,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"-400","30",solid,oui,"-180","-40",oui,-72.133250538499098,45.612077417496437
"153",PV118,140.000000000,Richmond,Point de vue,ouvert,SE,Daniel Delorme,GPS,,"-300","-40",solid,oui,"-180","-40",oui,-72.135264399999997,45.610343999999998
"154",aire de repos,149.931930542,Richmond,Piquenique,ouvert,MTQ,Gilles Turgeon,GPS,,"-37","-132",solid,oui,"0","80",non,-72.128804379852070,45.628737300776777
"158",PV130,431.625030518,Monts Stoke,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"-40","-220",solid,oui,"180","-40",oui,-71.736492397481200,45.536614472686672
"161",PV129,461.982666016,Monts Stoke,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"140","50",solid,oui,"180","-40",oui,-71.741217946851506,45.532788888259937
"162",PV132,570.054809570,Monts Stoke,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"-114","-24",solid,oui,"-180","-40",oui,-71.726627406032861,45.538332701980714
"163",PV134,565.596069336,Monts Stoke,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"-390","-100",solid,oui,"-180","-40",oui,-71.721674282320521,45.545010708913097
"167",S01,158.546020508,Sutton,Parking,ouvert,SE,Gilles Turgeon,Estimé,,"25","162",solid,oui,"0","60",oui,-72.572033549106436,45.029441853231560
"168",S03,525.334350586,Sutton,Parking,ouvert,SE,Gilles Turgeon,Estimé,,"-73","100",solid,oui,"0","60",oui,-72.551249237699324,45.097365929635423
"172",PV5,758.662231445,Sutton,Point de vue,ouvert,SE,Yvan Guay,GPS,,"140","-18",solid,oui,"0","-150",oui,-72.558155780920842,45.080114819724528
"173",PV6,928.242431641,Sutton,Point de vue,ouvert,SE,Yvan Guay,GPS,,"-49","-181",solid,oui,"0","-150",oui,-72.545320153498395,45.080894169081461
"174",PV2,540.151733398,Sutton,Point de vue,ouvert,SE,Yvan Guay,GPS,,"108","-55",solid,oui,"140","-40",oui,-72.586449984725334,45.046450330557725
"175",PV3,560.595397949,Sutton,Point de vue,ouvert,SE,Yvan Guay,GPS,,"86","-129",solid,oui,"140","-40",oui,-72.583752855922654,45.048768513518006
"176",PV1,503.229461670,Sutton,Point de vue,ouvert,SE,Gaétan Savard,GPS,,"118","-80",solid,oui,"140","-40",oui,-72.586834125987053,45.044528736060599
"177",PV8,870.211853027,Sutton,Point de vue,ouvert,SE,Jonathan Dupont,GPS,,"-18","-98",solid,oui,"0","-150",oui,-72.539161969237924,45.081219554562594
